sub	ses	b0_n_targets	b0_n_fill	b0_n_trials	b0_n_acc	b0_p_acc	b0_n_target_hit	b0_p_target_hit	b0_n_target_miss	b0_p_target_miss	b0_n_fill_corr	b0_p_fill_corr	b0_n_fill_fa	b0_p_fill_fa	b0_p_target_ba	b0_rt_mean_target_hit	b0_rt_med_target_hit	b1_n_targets	b1_n_fill	b1_n_trials	b1_n_acc	b1_p_acc	b1_n_target_hit	b1_p_target_hit	b1_n_target_miss	b1_p_target_miss	b1_n_fill_corr	b1_p_fill_corr	b1_n_fill_fa	b1_p_fill_fa	b1_p_target_ba	b1_rt_mean_target_hit	b1_rt_med_target_hit	b2_n_targets	b2_n_fill	b2_n_trials	b2_n_acc	b2_p_acc	b2_n_target_hit	b2_p_target_hit	b2_n_target_miss	b2_p_target_miss	b2_n_fill_corr	b2_p_fill_corr	b2_n_fill_fa	b2_p_fill_fa	b2_p_target_ba	b2_rt_mean_target_hit	b2_rt_med_target_hit
68	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	588.562	587.5	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	770.533	785.0	16.0	44.0	60.0	49.0	81.667	5.0	31.25	11.0	68.75	44.0	100.0	0.0	0.0	65.625	969.2	1115.0
69	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	734.125	689.0	16.0	44.0	60.0	56.0	93.333	13.0	81.25	3.0	18.75	43.0	97.727	1.0	2.273	89.489	825.0	750.0	16.0	44.0	60.0	51.0	85.0	8.0	50.0	8.0	50.0	43.0	97.727	1.0	2.273	73.864	1077.875	991.0
70	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	581.75	570.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	581.438	578.0	16.0	44.0	60.0	52.0	86.667	8.0	50.0	8.0	50.0	44.0	100.0	0.0	0.0	75.0	573.375	481.5
71	1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	558.533	550.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	731.812	739.5	16.0	44.0	60.0	52.0	86.667	8.0	50.0	8.0	50.0	44.0	100.0	0.0	0.0	75.0	792.875	638.0
72	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	529.938	532.0	16.0	44.0	60.0	52.0	86.667	8.0	50.0	8.0	50.0	44.0	100.0	0.0	0.0	75.0	691.5	645.5	16.0	44.0	60.0	51.0	85.0	9.0	56.25	7.0	43.75	42.0	95.455	2.0	4.545	75.852	698.444	635.0
73	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	544.688	556.0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	682.2	659.0	16.0	44.0	60.0	49.0	81.667	6.0	37.5	10.0	62.5	43.0	97.727	1.0	2.273	67.614	755.167	665.0
74	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	561.125	543.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	743.5	703.5	16.0	44.0	60.0	53.0	88.333	9.0	56.25	7.0	43.75	44.0	100.0	0.0	0.0	78.125	689.444	507.0
75	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	648.812	649.5	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	722.333	678.0	16.0	44.0	60.0	50.0	83.333	6.0	37.5	10.0	62.5	44.0	100.0	0.0	0.0	68.75	857.167	979.0
76	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	646.812	594.5	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	688.071	680.0	16.0	44.0	60.0	50.0	83.333	7.0	43.75	9.0	56.25	43.0	97.727	1.0	2.273	70.739	462.0	461.0
77	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	629.75	625.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	780.5	790.5	16.0	44.0	60.0	48.0	80.0	5.0	31.25	11.0	68.75	43.0	97.727	1.0	2.273	64.489	906.2	719.0
78	1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	689.25	667.0	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	752.6	647.0	16.0	44.0	60.0	50.0	83.333	10.0	62.5	6.0	37.5	40.0	90.909	4.0	9.091	76.705	924.2	619.0
80	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	510.5	499.0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	619.875	623.5	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	654.6	667.0
81	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	541.25	551.0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	569.267	567.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	578.286	494.5
83	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	760.375	699.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	754.938	743.5	16.0	44.0	60.0	54.0	90.0	11.0	68.75	5.0	31.25	43.0	97.727	1.0	2.273	83.239	942.0	954.0
84	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	650.562	578.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	806.071	777.0	16.0	44.0	60.0	49.0	81.667	5.0	31.25	11.0	68.75	44.0	100.0	0.0	0.0	65.625	538.4	443.0
