sub	ses	model	params	beta	alpha	lambda	w	pi	rho	loglikelihood	bic	aic	latents
119	1	HybridModel_NoStimSticky_NoRespSticky	4	3.37279506047322	0.0119612028684509	0.258840109371473	0.251753288834424			-61.3922480172905	141.205176778533	130.784496034581	0
120	1	HybridModel_NoStimSticky_NoRespSticky	4	3.37293381723248	0.0321806381833909	0.25347126507569	3.98262931615202e-08			-63.5267869613429	145.474254666638	135.053573922686	0
121	1	HybridModel_NoStimSticky_NoRespSticky	4	3.34779891967632	0.00832834290911911	0.313733261146937	7.34839253683907e-07			-67.9180785523106	154.256837848574	143.836157104621	0
122	1	HybridModel_NoStimSticky_NoRespSticky	4	3.33819196758285	0.00311929918914613	0.999987553787218	4.99576067250953e-07			-64.4100381473411	147.240757038635	136.820076294682	0
123	1	HybridModel_NoStimSticky_NoRespSticky	4	3.40357566604368	0.00618737975549214	0.999995246425396	0.556060785186936			-62.997785547267	144.416251838486	133.995571094534	0
124	1	HybridModel_NoStimSticky_NoRespSticky	4	3.36175017493371	0.001006037491923	0.99974376184048	1.04150275007932e-06			-63.0358356189818	144.492351981916	134.071671237964	0
21	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36187005046681	0.000277824490986024	0.500082783629058				-65.1401620093745	144.095834576713	136.280324018749	0
39	1	ModelBased_NoStimSticky_NoRespSticky	3	3.37100641624544	0.00132855099019088	0.499707790296795				-65.1589567926589	144.133424143282	136.317913585318	0
41	1	ModelBased_NoStimSticky_NoRespSticky	3	3.45904546487465	0.00166348557021143	0.501086056724147				-68.9113968925654	151.638304343095	143.822793785131	0
45	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160213573281	8.13581141970331e-10	0.497857141346909				-67.2352765348267	148.286063627618	140.470553069653	0
47	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36146723935144	6.12849085538957e-11	0.436033028479125				-65.848982219838	145.51347499764	137.697964439676	0
48	1	ModelBased_NoStimSticky_NoRespSticky	3	3.35897623716719	0.00226071036168827	0.500006961447525				-65.0555297806945	143.926570119353	136.111059561389	0
49	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36353785456825	0.00053426586888551	0.495784093947211				-67.9079592483313	149.631429054627	141.815918496663	0
51	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160039514108	1.39099133107966e-10	0.502214733516987				-69.3147180759842	152.444946709933	144.629436151968	0
52	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160103954126	2.87223850237395e-09	0.499973047022627				-67.9284237117722	149.672357981509	141.856847423544	0
54	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36142654271623	2.2341249462796e-11	0.252950419390271				-67.9284237593278	149.67235807662	141.856847518656	0
55	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36141736617821	0.000373062869766372	0.499813867883819				-67.2185872271711	148.252685012307	140.437174454342	0
56	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159923887522	1.23626398799464e-10	0.465598868611939				-62.3832463303945	138.582003218753	130.766492660789	0
57	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159934798257	6.18130451113384e-11	0.498824997061226				-65.1558349886347	144.127180535234	136.311669977269	0
68	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160033245519	5.69640229688171e-12	0.480455795321794				-68.6215708914337	151.058652340832	143.243141782867	0
69	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160125809395	7.51024787679309e-12	0.766916784463808				-64.4626878080747	142.740886174114	134.925375616149	0
70	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36236310174222	0.00169551887587147	0.500092990656863				-67.1848963896115	148.185303337187	140.369792779223	0
71	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160003884323	2.24968901536797e-11	0.353844302502837				-66.5421293497495	146.899769257463	139.084258699499	0
72	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159977041736	1.03960522463277e-10	0.496372549410573				-64.4626878120822	142.740886182129	134.925375624164	0
73	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159926603412	1.91136032989424e-10	0.471160249332211				-64.4626878121538	142.740886182272	134.925375624308	0
74	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159302195212	2.74681798371793e-11	0.451336014151519				-60.9969519087352	135.809414375435	127.99390381747	0
75	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36159502253356	1.33229378040957e-11	0.500481022711232				-69.3147180719944	152.444946701953	144.629436143989	0
77	1	ModelBased_NoStimSticky_NoRespSticky	3	3.39550901129499	0.00192954481200961	0.502102369810642				-65.1630938562569	144.141698270478	136.326187712514	0
78	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36160121462701	1.25835646901071e-10	0.276075355840901				-65.8489822331436	145.513475024251	137.697964466287	0
80	1	ModelBased_NoStimSticky_NoRespSticky	3	3.36279044413589	0.00168675891751065	0.500003202668098				-67.8487780997948	149.513066757554	141.69755619959	0
