sub	ses	block	earth_rt_mean	earth_rt_median	earth_n_miss	earth_p_miss	planet_rt_mean	planet_rt_median	planet_n_miss	planet_p_miss	reward_rate	avg_reward	reward_rate_corrected	prob_sameplanet_earthsame	prob_sameplanet_earthdif
77	1	b3	543.893	407.031	0	0.0	666.609	692.71	1	0.04	4.917	4.64	0.277	0.25	0.5
77	1	b4	361.156	402.598	1	0.04	283.348	117.25	1	0.04	4.625	4.46	0.165	0.667	0.417
78	1	b1	1016.485	1015.697	1	0.04	700.697	664.993	3	0.12	5.5	5.2	0.3	0.5	0.625
78	1	b2	1042.737	1023.985	1	0.04	852.226	810.118	2	0.08	3.826	3.94	-0.114	0.455	0.333
78	1	b3	956.496	900.571	0	0.0	719.364	658.429	1	0.04	4.167	4.2	-0.033	0.214	0.2
78	1	b4	992.27	984.615	0	0.0	657.623	517.751	1	0.04	4.292	4.7	-0.408	0.538	0.727
80	1	b1	1017.741	925.642	0	0.0	568.989	543.22	0	0.0	3.2	3.12	0.08	0.529	0.5
80	1	b2	1021.463	1007.778	0	0.0	545.517	506.775	0	0.0	4.64	3.96	0.68	0.833	0.231
80	1	b3	952.885	916.188	0	0.0	578.152	552.347	0	0.0	5.48	5.52	-0.04	0.75	0.923
80	1	b4	933.857	887.079	0	0.0	647.668	618.604	0	0.0	6.16	6.14	0.02	0.812	0.778
83	1	b1	1152.229	1055.184	1	0.04	1098.213	1171.822	1	0.04	5.958	5.72	0.238	0.385	0.545
83	1	b2	830.254	783.395	2	0.08	921.957	911.318	2	0.08	5.565	5.74	-0.175	0.4	0.615
83	1	b3	774.197	690.998	2	0.08	793.293	809.545	2	0.08	3.739	3.84	-0.101	0.462	0.3
83	1	b4	868.618	758.316	2	0.08	745.408	730.971	3	0.12	4.591	4.62	-0.029	0.7	0.417
84	1	b1	799.727	604.508	1	0.04	581.897	516.095	2	0.08	4.783	4.7	0.083	0.25	0.467
84	1	b2	936.61	718.801	0	0.0	704.241	701.024	0	0.0	3.08	3.02	0.06	0.538	0.583
84	1	b3	803.011	629.43	1	0.04	811.656	677.569	1	0.04	3.875	3.78	0.095	0.545	0.462
84	1	b4	788.242	803.464	1	0.04	794.835	659.799	1	0.04	4.875	4.72	0.155	0.25	0.5
89	1	b1	685.672	547.065	0	0.0	735.664	673.345	0	0.0	4.48	4.52	-0.04	0.6	0.333
89	1	b2	750.362	580.106	0	0.0	772.491	747.843	0	0.0	5.16	4.72	0.44	0.273	0.643
89	1	b3	729.617	583.702	2	0.08	617.219	572.837	2	0.08	4.043	3.74	0.303	0.429	0.5
89	1	b4	653.081	587.796	0	0.0	690.158	547.718	0	0.0	3.72	3.46	0.26	0.462	0.5
90	1	b1	1247.626	1235.897	0	0.0	820.797	819.876	1	0.04	4.625	4.96	-0.335	0.545	0.615
90	1	b2	1062.75	1096.289	0	0.0	710.109	651.059	0	0.0	4.96	4.38	0.58	0.462	0.5
90	1	b3	1138.707	1124.369	0	0.0	756.692	695.807	1	0.04	5.125	4.52	0.605	0.714	0.529
90	1	b4	999.827	955.501	1	0.04	794.401	793.552	1	0.04	5.0	4.98	0.02	0.4	0.5
93	1	b1	1051.188	1051.494	1	0.04	953.873	965.509	2	0.08	4.261	4.5	-0.239	0.692	0.1
93	1	b2	974.334	974.052	0	0.0	798.705	724.733	0	0.0	4.32	4.36	-0.04	0.308	0.5
